Time,Living,Working,Entertainment,Commerce,Healthcare
00:00,94,05,0,0,01
01:00,94,05,0,0,01
02:00,94,05,0,0,01
03:00,94,05,0,0,01
04:00,94,05,0,0,01
05:00,94,05,0,0,01
06:00,94,05,0,0,01
07:00,89,1,0,0,01
08:00,29,6,05,05,01
09:00,19,7,05,05,01
10:00,19,7,05,05,01
11:00,19,7,05,05,01
12:00,19,7,05,05,01
13:00,19,7,05,05,01
14:00,29,6,05,05,01
15:00,29,6,05,05,01
16:00,19,6,1,1,01
17:00,19,6,1,1,01
18:00,39,4,1,1,01
19:00,49,2,15,15,01
20:00,74,05,1,1,01
21:00,74,05,1,1,01
22:00,84,05,05,05,01
23:00,89,05,05,0,01
