Type,NO,Living,Working,Commerce,Healthcare,Education,Entertainment,servicios,micro servicios?,transporte,fe?
*,x,,,,,,,,,,
age,x,,,,,,,,,,
architecture,x,,,,,,,,,,
cladding,x,,,,,,,,,,
colour,x,,,,,,,,,,
condition,x,,,,,,,,,,
design,x,,,,,,,,,,
fireproof,x,,,,,,,,,,
foundation_height,x,,,,,,,,,,
height,x,,,,,,,,,,
level,x,,,,,,,,,,
levels,x,,,,,,,,,,
levels:underground,x,,,,,,,,,,
material,x,,,,,,,,,,
max_level,x,,,,,,,,,,
min_level,x,,,,,,,,,,
obm,x,,,,,,,,,,
part,x,,,,,,,,,,
Tag:building:part=balcony,x,,,,,,,,,,
Tag:building:part=corridor,x,,,,,,,,,,
Tag:building:part=porch,x,,,,,,,,,,
place,x,,,,,,,,,,
prefabricated,x,,,,,,,,,,
quake-resistant,x,,,,,,,,,,
roof,x,,,,,,,,,,
roof:shape,x,,,,,,,,,,
ruian:type,x,,,,,,,,,,
soft_storey,x,,,,,,,,,,
structure,x,,,,,,,,,,
type,x,,,,,,,,,,
units,x,,,,,,,,,,
usage:pl,x,,,,,,,,,,
use,x,,,,,,,,,,
use:pl,x,,,,,,,,,,
stable,x,,,,,,,,,,
warehouse,x,,,,,,,,,,
walls,x,,,,,,,,,,
,,,,,,,,,,,
abandoned,x,,,,,,,,,,
allotment_house,,,,,,,,x,,,
apartments,,x,,,,,,,,,
bakehouse,,,x,,,,,,,,
barn,,,x,,,,,,,,
barracks,,x,,,,,,,,,
bath,,x,,,,,,,,,
beach_hut,,,,,,,x,,,,
bell_tower,,,x,,,,,,,,
boathouse,,,,,,,,x,,,
brewery,,,x,,,,x,,,,
bridge,x,,,,,,,,,,
bungalow,,x,,,,,,,,,
bunker,,x,,,,,,,,,
cabin,,x,,,,,,,,,
carport,x,,,,,,,,,,
castle,,x,,,,,x,,,,
cathedral,,,,,,,x,,,,
central_office,,,x,,,,,,,,
changing_rooms,x,,,,,,,,,,
chapel,,,,,,,x,,,,
church,,,,,,,x,,,,
civic,,,x,,,,,,,,
collapsed,x,,,,,,,,,,
college,,,x,,,x,,,,,
commercial,,,x,x,,,,,,,
condominium,,x,,,,,,,,,
conservatory,,,x,,,x,,,,,
constructie,x,,,,,,,,,,
container,x,,,,,,,,,,
convent,,x,x,,,,,,,,
cowshed,,,x,,,,,,,,
damaged,x,,,,,,,,,,
data_center,x,,,,,,,,,,
data_centre,x,,,,,,,,,,
demountable,,x,,,,,,,,,
detached,,x,,,,,,,,,
digester,,,x,,,,,,,,
disused,x,,,,,,,,,,
dormitory,,x,,,,,,,,,
entrance,x,,,,,,,,,,
factory,,,x,,,,,,,,
farm,,,x,,,,,,,,
farm_auxiliary,,,x,,,,,,,,
fire_lookout,,,x,,,,,,,,
fire_station,,,x,,,,,,,,
fixme,x,,,,,,,,,,
font,x,,,,,,,,,,
fort,,,,,,,x,,,,
friary,,x,,,,,,,,,
funeral_hall,,,x,,,,,,,,
garage,,x,,,,,,,,,
garages,,x,,,,,,,,,
gatehouse,,,,,,,x,,,,
ger,,x,,,,,,,,,
glasshouse,,,x,,,,,,,,
goat_shed,,,x,,,,,,,,
government,,,x,,,,,,,,
