osmid,coord,building,amenity,geometry,services,bus
3023164192,"(52.064597, 5.1044248)",yes,,POINT (5.1044248 52.064597),"['Commerce', 'Entertainment']",Node_75
3023169327,"(52.0645213, 5.1023894)",school,college,POINT (5.1023894 52.0645213),"['Working', 'Education']",Node_72
23115043,"(52.07781817499518, 5.0930069259305455)",apartments,,"POLYGON ((5.0927254 52.0780069, 5.0927178 52.0780042, 5.0926594 52.0780672, 5.0926933 52.0780791, 5.0926632 52.0781115, 5.0927861 52.0781549, 5.0933692 52.0775273, 5.0932462 52.077484, 5.0931868 52.0775479, 5.0931527 52.0775359, 5.0930941 52.077599, 5.0931283 52.077611, 5.0930421 52.0777037, 5.0930079 52.0776917, 5.0929494 52.0777547, 5.0929836 52.0777667, 5.0928965 52.0778604, 5.0928625 52.0778484, 5.0928041 52.0779112, 5.0928382 52.0779232, 5.0927518 52.0780162, 5.0927254 52.0780069))",['Living'],Node_22
28551351,"(52.078521044336625, 5.092141877677986)",yes,,"POLYGON ((5.0917246 52.0787866, 5.0920787 52.0789116, 5.0921659 52.0788181, 5.0921621 52.0788167, 5.0919817 52.078753, 5.092015 52.0787172, 5.0920251 52.0787063, 5.0920735 52.0787234, 5.0921334 52.0786587, 5.0921465 52.0786633, 5.0921483 52.0786614, 5.0921884 52.0786181, 5.0921904 52.0786159, 5.0921774 52.0786114, 5.0925569 52.0782019, 5.0923476 52.0781282, 5.092259 52.0782239, 5.092201 52.0782866, 5.0919612 52.0785462, 5.0919598 52.0785457, 5.0919318 52.0785758, 5.0919333 52.0785764, 5.0918653 52.0786499, 5.0919142 52.0786671, 5.0919041 52.078678, 5.0918709 52.0787139, 5.0918116 52.078693, 5.0917267 52.0787843, 5.0917246 52.0787866))","['Living', 'Commerce', 'Entertainment']",Node_99
55305356,"(52.07061898036164, 5.089778768833102)",apartments,,"POLYGON ((5.0896008 52.0707104, 5.0895244 52.0707928, 5.0896615 52.0708414, 5.0896628 52.0708403, 5.0896617 52.0708399, 5.0897682 52.0707251, 5.0897795 52.0707237, 5.0898021 52.0707316, 5.089821 52.070711, 5.0897988 52.0707032, 5.0897949 52.0706965, 5.0898952 52.0705887, 5.0899066 52.0705872, 5.0899292 52.0705952, 5.0899481 52.0705747, 5.0899256 52.0705669, 5.0899215 52.0705601, 5.0900282 52.0704453, 5.0900289 52.0704455, 5.0900302 52.0704441, 5.0898922 52.070396, 5.0896008 52.0707104))",['Living'],Node_18
55305755,"(52.079167572388904, 5.084749755574911)",mosque,place_of_worship,"POLYGON ((5.084424 52.0792425, 5.0845883 52.079285, 5.0847526 52.0793275, 5.0848313 52.0793479, 5.0848478 52.0793314, 5.0848504 52.0793288, 5.0848917 52.0792873, 5.0849053 52.0792925, 5.0849118 52.0792859, 5.0850243 52.079173, 5.0849896 52.0791431, 5.0849742 52.0791299, 5.0850165 52.0791119, 5.0849674 52.0790687, 5.0849701 52.0790672, 5.0849736 52.0790646, 5.0849761 52.0790616, 5.0849776 52.0790583, 5.0849779 52.0790549, 5.084977 52.0790515, 5.0849751 52.0790483, 5.084972 52.0790455, 5.0849681 52.079043, 5.0849635 52.0790412, 5.0849583 52.07904, 5.0849528 52.0790395, 5.0849473 52.0790397, 5.084942 52.0790406, 5.0849371 52.0790422, 5.0848877 52.0789993, 5.084846 52.0790174, 5.084831 52.0790042, 5.0847714 52.0790301, 5.0847295 52.0789933, 5.0847143 52.0790002, 5.084707 52.0789942, 5.0846907 52.0789925, 5.084677 52.0789985, 5.0846738 52.0790086, 5.0846824 52.0790156, 5.0846416 52.0790327, 5.0846289 52.0790284, 5.084624 52.0790267, 5.084466 52.0791966, 5.084424 52.0792425))",['Entertainment'],Node_1
55307427,"(52.06730102413843, 5.098258838070557)",yes,place_of_worship,"POLYGON ((5.0985481 52.0675033, 5.0984459 52.0674673, 5.098462 52.0674495, 5.0982091 52.0673606, 5.0982014 52.067369, 5.0981886 52.0673645, 5.0982384 52.0672886, 5.0982531 52.0672921, 5.098256 52.0672884, 5.098263 52.0672897, 5.0982624 52.0672912, 5.0982615 52.0672909, 5.0982598 52.0672937, 5.0982902 52.0673012, 5.0982925 52.0672974, 5.0982997 52.0672984, 5.0982992 52.0673, 5.098298 52.0672998, 5.0982964 52.0673027, 5.0983262 52.0673101, 5.0983284 52.0673064, 5.0983357 52.0673077, 5.0983347 52.0673091, 5.098334 52.067309, 5.0983321 52.0673115, 5.098363 52.0673191, 5.0983654 52.0673152, 5.0983726 52.0673166, 5.0983719 52.0673181, 5.0983709 52.0673179, 5.0983693 52.0673207, 5.0983993 52.067328, 5.0984019 52.0673243, 5.0984092 52.0673257, 5.0984082 52.0673269, 5.0984069 52.0673265, 5.0984048 52.0673294, 5.0984483 52.0673401, 5.0985661 52.0672458, 5.0985625 52.0672439, 5.0985664 52.0672403, 5.0985707 52.0672422, 5.0985754 52.0672384, 5.0985174 52.067211, 5.0985598 52.067167, 5.0983049 52.0670774, 5.0981649 52.0672286, 5.0980086 52.0671903, 5.0978709 52.0673384, 5.0984997 52.0675601, 5.0985512 52.0675044, 5.0985481 52.0675033))",['Entertainment'],Node_59
55310088,"(52.07517175524438, 5.086594340771638)",yes,,"POLYGON ((5.0866524 52.0752939, 5.0866041 52.0752768, 5.0867132 52.0751605, 5.0867465 52.0751721, 5.0867487 52.0751697, 5.0867638 52.0751532, 5.0867607 52.0751522, 5.0867925 52.0751176, 5.0867955 52.0751187, 5.0868052 52.0751081, 5.0868021 52.075107, 5.0868338 52.0750725, 5.0868369 52.0750736, 5.0868393 52.075071, 5.0867568 52.0750418, 5.0867308 52.0750326, 5.0866684 52.0750104, 5.0866837 52.074994, 5.08659 52.0749608, 5.0865876 52.0749633, 5.0865913 52.0749646, 5.0865361 52.0750237, 5.0865324 52.0750224, 5.0865301 52.0750249, 5.0865854 52.0750446, 5.0865915 52.0750467, 5.0865191 52.0751242, 5.0865135 52.0751224, 5.0865117 52.0751246, 5.0865171 52.0751262, 5.0864927 52.0751525, 5.0864449 52.075204, 5.0864397 52.0752021, 5.0864381 52.075204, 5.0864429 52.0752057, 5.0863706 52.0752837, 5.0863654 52.075282, 5.0863637 52.0752837, 5.0864157 52.075302, 5.0863994 52.0753193, 5.0865296 52.0753652, 5.086546 52.0753475, 5.0865884 52.0753625, 5.0865907 52.0753603, 5.0866524 52.0752939))","['Working', 'Commerce', 'Healthcare', 'Education']",Node_8
55310093,"(52.070322521782366, 5.099978960424313)",apartments,,"POLYGON ((5.0996868 52.0706464, 5.0997092 52.0706222, 5.0997069 52.0706215, 5.0997229 52.0706042, 5.0997902 52.0706279, 5.1003355 52.0700405, 5.1001985 52.0699925, 5.100144 52.0700507, 5.1001268 52.0700443, 5.1001042 52.0700684, 5.1001215 52.0700746, 5.0999332 52.0702754, 5.0996535 52.0705774, 5.0996384 52.070572, 5.0996389 52.0705714, 5.0996355 52.0705702, 5.0996054 52.0706026, 5.0995947 52.0706141, 5.0996868 52.0706464))",['Living'],Node_57
55310170,"(52.070744943817786, 5.093619181480859)",school,,"POLYGON ((5.0936149 52.0708644, 5.0936249 52.0708537, 5.0937242 52.0708886, 5.0937271 52.0708854, 5.0937249 52.0708846, 5.093779 52.0708262, 5.0937798 52.0708265, 5.0937854 52.0708205, 5.0937846 52.0708202, 5.0937931 52.0708111, 5.0937938 52.0708114, 5.0938066 52.0707975, 5.0938059 52.0707973, 5.0938143 52.0707882, 5.093815 52.0707885, 5.0938206 52.0707825, 5.0938199 52.0707821, 5.093874 52.0707238, 5.0938763 52.0707246, 5.0938792 52.0707214, 5.0937769 52.0706853, 5.0937736 52.0706884, 5.0936195 52.0706343, 5.0936227 52.070631, 5.0935202 52.0705948, 5.0935172 52.0705981, 5.0935194 52.0705989, 5.0934653 52.0706572, 5.0934646 52.0706569, 5.0934589 52.070663, 5.0934597 52.0706633, 5.0934513 52.0706723, 5.0934505 52.0706721, 5.0934378 52.0706859, 5.0934385 52.0706861, 5.09343 52.0706953, 5.0934293 52.070695, 5.0934237 52.070701, 5.0934245 52.0707013, 5.0933703 52.0707597, 5.093368 52.0707589, 5.0933651 52.0707621, 5.0934644 52.0707971, 5.0934541 52.0708076, 5.0936149 52.0708644))","['Working', 'Education']",Node_23
